cancer,track,eval_mode,modality,selected_model,base_weight,effective_weight,overfit_warning,overfit_severe,prediction_format,combo_dir
luad,2B_numeric_smiles,cv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/XGBoost/cv
luad,2B_numeric_smiles,cv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2B_numeric_smiles/ResidualMLP/cv
luad,2B_numeric_smiles,groupcv,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/XGBoost/groupcv
luad,2B_numeric_smiles,groupcv,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2B_numeric_smiles/ResidualMLP/groupcv
luad,2B_numeric_smiles,holdout,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/XGBoost/holdout
luad,2B_numeric_smiles,holdout,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2B_numeric_smiles/ResidualMLP/holdout
luad,2B_numeric_smiles,scaffoldcv,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/XGBoost/scaffoldcv
luad,2B_numeric_smiles,scaffoldcv,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2B_numeric_smiles/ResidualMLP/scaffoldcv
luad,2B_numeric_smiles,unseen_drug,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/XGBoost/unseen_drug
luad,2B_numeric_smiles,unseen_drug,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2B_numeric_smiles/ResidualMLP/unseen_drug
luad,2C_numeric_smiles_context,cv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/cv
luad,2C_numeric_smiles_context,cv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2C_numeric_smiles_context/ResidualMLP/cv
luad,2C_numeric_smiles_context,groupcv,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/groupcv
luad,2C_numeric_smiles_context,groupcv,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2C_numeric_smiles_context/ResidualMLP/groupcv
luad,2C_numeric_smiles_context,holdout,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/holdout
luad,2C_numeric_smiles_context,holdout,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2C_numeric_smiles_context/ResidualMLP/holdout
luad,2C_numeric_smiles_context,scaffoldcv,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/scaffoldcv
luad,2C_numeric_smiles_context,scaffoldcv,DL,ResidualMLP,0.5232131095571009,0.26160655477855044,True,True,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2C_numeric_smiles_context/ResidualMLP/scaffoldcv
luad,2C_numeric_smiles_context,unseen_drug,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/unseen_drug
luad,2C_numeric_smiles_context,unseen_drug,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/luad/2C_numeric_smiles_context/ResidualMLP/unseen_drug
stad,2A_numeric,cv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/cv
stad,2A_numeric,cv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2A_numeric/ResidualMLP/cv
stad,2A_numeric,cv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2A_numeric/GraphSAGE/cv
stad,2A_numeric,groupcv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/groupcv
stad,2A_numeric,groupcv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2A_numeric/ResidualMLP/groupcv
stad,2A_numeric,groupcv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2A_numeric/GraphSAGE/groupcv
stad,2A_numeric,holdout,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/holdout
stad,2A_numeric,holdout,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2A_numeric/ResidualMLP/holdout
stad,2A_numeric,holdout,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2A_numeric/GraphSAGE/holdout
stad,2A_numeric,scaffoldcv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/scaffoldcv
stad,2A_numeric,scaffoldcv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2A_numeric/ResidualMLP/scaffoldcv
stad,2A_numeric,scaffoldcv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2A_numeric/GraphSAGE/scaffoldcv
stad,2A_numeric,unseen_drug,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/unseen_drug
stad,2A_numeric,unseen_drug,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2A_numeric/ResidualMLP/unseen_drug
stad,2A_numeric,unseen_drug,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2A_numeric/GraphSAGE/unseen_drug
stad,2B_numeric_smiles,cv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/XGBoost/cv
stad,2B_numeric_smiles,cv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2B_numeric_smiles/ResidualMLP/cv
stad,2B_numeric_smiles,cv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2B_numeric_smiles/GraphSAGE/cv
stad,2B_numeric_smiles,groupcv,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/XGBoost/groupcv
stad,2B_numeric_smiles,groupcv,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2B_numeric_smiles/ResidualMLP/groupcv
stad,2B_numeric_smiles,groupcv,Graph,GraphSAGE,0.4239427574069187,0.21197137870345936,True,True,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2B_numeric_smiles/GraphSAGE/groupcv
stad,2B_numeric_smiles,holdout,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/XGBoost/holdout
stad,2B_numeric_smiles,holdout,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2B_numeric_smiles/ResidualMLP/holdout
stad,2B_numeric_smiles,holdout,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2B_numeric_smiles/GraphSAGE/holdout
stad,2B_numeric_smiles,scaffoldcv,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/XGBoost/scaffoldcv
stad,2B_numeric_smiles,scaffoldcv,DL,ResidualMLP,0.5232131095571009,0.26160655477855044,True,True,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2B_numeric_smiles/ResidualMLP/scaffoldcv
stad,2B_numeric_smiles,scaffoldcv,Graph,GraphSAGE,0.4239427574069187,0.21197137870345936,True,True,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2B_numeric_smiles/GraphSAGE/scaffoldcv
stad,2B_numeric_smiles,unseen_drug,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/XGBoost/unseen_drug
stad,2B_numeric_smiles,unseen_drug,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2B_numeric_smiles/ResidualMLP/unseen_drug
stad,2B_numeric_smiles,unseen_drug,Graph,GraphSAGE,0.4239427574069187,0.339154205925535,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2B_numeric_smiles/GraphSAGE/unseen_drug
stad,2C_numeric_smiles_context,cv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/XGBoost/cv
stad,2C_numeric_smiles_context,cv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2C_numeric_smiles_context/ResidualMLP/cv
stad,2C_numeric_smiles_context,cv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2C_numeric_smiles_context/GraphSAGE/cv
stad,2C_numeric_smiles_context,groupcv,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/XGBoost/groupcv
stad,2C_numeric_smiles_context,groupcv,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2C_numeric_smiles_context/ResidualMLP/groupcv
stad,2C_numeric_smiles_context,groupcv,Graph,GraphSAGE,0.4239427574069187,0.339154205925535,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2C_numeric_smiles_context/GraphSAGE/groupcv
stad,2C_numeric_smiles_context,holdout,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/XGBoost/holdout
stad,2C_numeric_smiles_context,holdout,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2C_numeric_smiles_context/ResidualMLP/holdout
stad,2C_numeric_smiles_context,holdout,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2C_numeric_smiles_context/GraphSAGE/holdout
stad,2C_numeric_smiles_context,scaffoldcv,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/XGBoost/scaffoldcv
stad,2C_numeric_smiles_context,scaffoldcv,DL,ResidualMLP,0.5232131095571009,0.26160655477855044,True,True,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2C_numeric_smiles_context/ResidualMLP/scaffoldcv
stad,2C_numeric_smiles_context,scaffoldcv,Graph,GraphSAGE,0.4239427574069187,0.339154205925535,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2C_numeric_smiles_context/GraphSAGE/scaffoldcv
stad,2C_numeric_smiles_context,unseen_drug,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/XGBoost/unseen_drug
stad,2C_numeric_smiles_context,unseen_drug,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/stad/2C_numeric_smiles_context/ResidualMLP/unseen_drug
stad,2C_numeric_smiles_context,unseen_drug,Graph,GraphSAGE,0.4239427574069187,0.339154205925535,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/stad/2C_numeric_smiles_context/GraphSAGE/unseen_drug
